Name, Address, Pice, Rating, Latitude, Longitude
Shawafël, Islands Brygge 27; 2300 København, 100-200 kr., 4.2, 55.66629740742136, 12.576090769842446
Havnens BBQ, Torvegade 64; 1400 København, 1-100 kr., 4.3, 55.67128852933656, 12.593324683692911
Værnedams Kebab og Burger, Værnedamsvej 20; 1619 København, 1-100 kr., 4.6, 55.67616805640987, 12.550478220687301
Kebaba, Gl. Kongevej 102; 1850 Frederiksberg, 1-100 kr., 4.7, 55.67788272545012, 12.545207218072097
Liban Cuisine Nørrebro, Rantzausgade 1; 2200 København, 100-200 kr., 4.4, 55.68578687893878, 12.553095938463555
Falafelkælderen, Rantzausgade 14; 2200 København, 1-100 kr., 4.4, 55.68659138147024, 12.551197912707535
Beyti, Nørrebrogade 13; 2200 København, 100-200 kr., 3.9, 55.688414922157904, 12.560178418222899
Dürüm Symfoni, Nørrebrogade 104; 2200 København, 1-100 kr., 4.4, 55.69343490315017, 12.550784933116553
Sheik Nørrebro, Nørrebrogade 98; 2200 København, 1-100 kr,. 4.2, 55.69304543666065, 12.551313348480173
Kösk Kebab, Frederikssundsvej 23; 2400 København, 100-200 kr., 4.2, 55.70192697789339, 12.534664269720006
Zeynos Kebab, Frederikssundsvej 175; 2700 Brønshøj-Husum, 1-100 kr., 4.8, 55.706587644680305, 12.498218862260448
